Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2020-03-11,85.171,92.202,92.202,80.796,11790000,-7.64,2020-03-11,85.171
2020-03-12,72.583,85.103,85.103,68.488,12010000,-14.78,2020-03-12,72.583
2020-03-13,82.678,72.621,83.758,72.621,15770000,13.91,2020-03-13,82.678
2020-03-16,71.168,82.565,82.565,70.855,12850000,-13.92,2020-03-16,71.168
2020-03-17,74.617,71.178,77.255,70.783,14950000,4.85,2020-03-17,74.617
2020-03-18,66.895,74.576,74.576,63.547,16750000,-10.35,2020-03-18,66.895
2020-03-19,68.332,66.883,70.071,61.691,16140000,2.15,2020-03-19,68.332
2020-03-20,67.069,68.344,72.247,66.12,15150000,-1.85,2020-03-20,67.069
2020-03-23,63.57,67.067,67.604,62.161,11960000,-5.22,2020-03-23,63.57
2020-03-24,69.729,63.604,71.535,63.604,11680000,9.69,2020-03-24,69.729
2020-03-25,74.956,69.727,76.714,69.36,12950000,7.5,2020-03-25,74.956
2020-03-26,77.71,74.956,78.846,74.923,12760000,3.67,2020-03-26,77.71
2020-03-27,73.429,77.708,77.708,73.057,10300000,-5.51,2020-03-27,73.429
2020-03-30,74.639,73.431,75.43,73.184,9030000,1.65,2020-03-30,74.639
2020-03-31,73.02,74.629,75.511,72.385,11140000,-2.17,2020-03-31,73.02
2020-04-01,70.967,73.011,73.011,69.569,10090000,-2.81,2020-04-01,70.967
2020-04-02,72.253,70.969,73.861,70.957,10540000,1.81,2020-04-02,72.253
2020-04-03,69.538,72.241,72.241,67.802,10410000,-3.76,2020-04-03,69.538
2020-04-06,74.073,69.556,75.26,69.556,9690000,6.52,2020-04-06,74.073
2020-04-07,76.358,74.078,79.855,74.078,11290000,3.08,2020-04-07,76.358
2020-04-08,78.625,76.335,79.058,76.115,10210000,2.97,2020-04-08,78.625
2020-04-09,77.682,78.64,80.428,77.457,10750000,-1.2,2020-04-09,77.682
2020-04-13,78.836,77.682,78.836,76.405,7650000,1.49,2020-04-13,78.836
2020-04-14,79.918,78.848,81.668,78.848,8590000,1.37,2020-04-14,79.918
2020-04-15,78.831,79.911,80.035,77.546,9760000,-1.36,2020-04-15,78.831
2020-04-16,77.812,78.837,80.167,77.452,9030000,-1.29,2020-04-16,77.812
2020-04-17,78.99,77.817,79.846,77.754,8320000,1.51,2020-04-17,78.99
2020-04-20,78.973,78.989,80.106,76.943,8870000,-0.02,2020-04-20,78.973
2020-04-22,80.687,78.973,81.184,78.973,9850000,2.17,2020-04-22,80.687
2020-04-23,79.673,80.69,81.934,78.622,10820000,-1.26,2020-04-23,79.673
2020-04-24,75.331,79.667,79.667,72.041,16530000,-5.45,2020-04-24,75.331
2020-04-27,78.239,75.334,78.563,75.327,10660000,3.86,2020-04-27,78.239
2020-04-28,81.312,78.243,81.427,78.243,12940000,3.93,2020-04-28,81.312
2020-04-29,83.171,81.313,83.598,81.313,11720000,2.29,2020-04-29,83.171
2020-04-30,80.506,83.169,83.169,80.168,11800000,-3.2,2020-04-30,80.506
2020-05-04,78.876,80.501,80.502,77.64,8590000,-2.02,2020-05-04,78.876
2020-05-05,79.471,78.887,81.066,78.886,9150000,0.75,2020-05-05,79.471
2020-05-06,79.064,79.473,79.996,78.056,9780000,-0.51,2020-05-06,79.064
2020-05-07,78.119,79.072,80.061,78.061,13810000,-1.2,2020-05-07,78.119
2020-05-08,80.263,78.152,80.557,78.152,10730000,2.75,2020-05-08,80.263
2020-05-11,79.065,80.263,80.723,78.994,9780000,-1.49,2020-05-11,79.065
2020-05-12,77.872,79.065,80.344,77.872,10250000,-1.51,2020-05-12,77.872
2020-05-13,77.772,77.877,78.911,77.152,11580000,-0.13,2020-05-13,77.772
2020-05-14,79.011,77.77,79.011,75.697,13820000,1.59,2020-05-14,79.011
2020-05-15,77.557,79.011,79.538,77.426,11720000,-1.84,2020-05-15,77.557
2020-05-18,81.194,77.576,81.42,77.571,11530000,4.69,2020-05-18,81.194
2020-05-19,80.742,81.197,82.175,80.647,10740000,-0.56,2020-05-19,80.742
2020-05-20,81.319,80.747,82.29,80.74,9520000,0.71,2020-05-20,81.319
2020-05-21,83.027,81.32,83.309,81.317,11400000,2.1,2020-05-21,83.027
2020-05-22,82.173,83.027,83.027,81.669,9280000,-1.03,2020-05-22,82.173
2020-05-25,85.663,82.198,85.876,82.193,8760000,4.25,2020-05-25,85.663
2020-05-26,85.469,85.668,87.333,85.396,12030000,-0.23,2020-05-26,85.469
2020-05-27,87.946,85.468,87.946,85.468,11210000,2.9,2020-05-27,87.946
2020-05-28,86.949,87.946,88.091,86.767,10120000,-1.13,2020-05-28,86.949
2020-05-29,87.403,86.951,87.41,85.384,16550000,0.52,2020-05-29,87.403
2020-06-01,88.62,87.395,89.019,86.837,9850000,1.39,2020-06-01,88.62
2020-06-02,91.046,88.622,91.046,88.622,11830000,2.74,2020-06-02,91.046
2020-06-03,93.002,91.048,93.71,91.048,15140000,2.15,2020-06-03,93.002
2020-06-04,93.829,92.993,94.132,92.221,11490000,0.89,2020-06-04,93.829
2020-06-05,94.637,93.839,97.356,93.839,13320000,0.86,2020-06-05,94.637
2020-06-08,97.645,94.64,97.693,94.635,11100000,3.18,2020-06-08,97.645
2020-06-09,96.747,97.644,97.644,95.386,11290000,-0.92,2020-06-09,96.747
2020-06-10,94.686,96.747,97.646,94.665,11740000,-2.13,2020-06-10,94.686
2020-06-12,92.795,94.677,94.703,90.811,12790000,-2.0,2020-06-12,92.795
2020-06-15,92.376,92.78,93.112,90.148,13320000,-0.45,2020-06-15,92.376
2020-06-16,93.531,92.387,95.216,92.387,12030000,1.25,2020-06-16,93.531
2020-06-17,95.547,93.531,96.611,93.531,11130000,2.16,2020-06-17,95.547
2020-06-18,96.125,95.547,97.11,94.698,10010000,0.6,2020-06-18,96.125
2020-06-19,96.572,96.138,97.54,95.874,13130000,0.46,2020-06-19,96.572
2020-06-22,95.336,96.572,96.87,94.869,8260000,-1.28,2020-06-22,95.336
2020-06-23,95.975,95.344,97.486,95.344,9750000,0.67,2020-06-23,95.975
2020-06-24,94.377,95.974,95.974,93.259,9960000,-1.66,2020-06-24,94.377
2020-06-25,95.983,94.382,96.26,94.152,8700000,1.7,2020-06-25,95.983
2020-06-26,93.834,95.979,95.979,93.514,8440000,-2.24,2020-06-26,93.834
2020-06-29,95.735,93.837,95.735,93.825,8910000,2.03,2020-06-29,95.735
2020-06-30,95.056,95.728,96.257,94.806,10140000,-0.71,2020-06-30,95.056
2020-07-01,96.203,95.062,96.852,95.062,10160000,1.21,2020-07-01,96.203
2020-07-02,96.235,96.206,97.864,96.052,10060000,0.03,2020-07-02,96.235
2020-07-03,96.765,96.237,96.765,95.803,5350000,0.55,2020-07-03,96.765
2020-07-06,98.937,96.776,99.257,96.768,9490000,2.24,2020-07-06,98.937
2020-07-07,97.761,98.937,98.938,97.272,8950000,-1.19,2020-07-07,97.761
2020-07-08,99.77,97.765,99.973,97.765,9140000,2.05,2020-07-08,99.77
